ID,whiteElo,blackElo,result,eloChange
A7#77,2525,2555,0.5,0.4
A7#78,2550,2530,1,4.7
A7#79,2545,2480,0.5,-0.9
A7#80,2530,2550,0,-4.7
A7#81,2555,2550,1,4.9
A7#82,2555,2545,0,-5.1
A7#83,2480,2525,0,-4.4
A7#84,2590,2460,0,-6.8
A7#85,2550,2490,1,4.1
A7#86,2530,2530,0.5,0.0
A7#87,2550,2470,1,3.9
A7#88,2445,2430,0,-5.2
A7#89,2525,2555,1,5.4
A7#90,2430,2590,0.5,2.2
A7#91,2460,2550,0,-3.7
A7#92,2550,2480,0.5,-1.0
A7#93,2470,2445,0.5,-0.4
A7#94,2545,2550,0,-4.9
A7#95,2530,2490,1,4.4
A7#96,2530,2555,0.5,0.4
A7#97,2555,2550,0.5,-0.1
A7#98,2590,2470,1,3.3
A7#99,2550,2430,1,3.3
A7#100,2555,2530,0.5,-0.4
A7#101,2445,2545,0,-3.6
A7#102,2490,2460,1,4.6
A7#103,2550,2525,0.5,-0.4
A7#104,2480,2530,1,5.7
A7#105,2550,2550,1,5.0
A7#106,2530,2460,0.5,-1.0
A7#107,2545,2590,0.5,0.6
A7#108,2525,2445,0,-6.1
A7#109,2470,2550,0.5,1.1
A7#110,2530,2555,0,-4.6
A7#111,2555,2480,1,3.9
A7#112,2430,2490,0.5,0.9
A7#113,2550,2545,0.5,-0.1
A7#114,2480,2530,0.5,0.7
A7#115,2590,2525,0.5,-0.9
A7#116,2460,2430,1,4.6
A7#117,2555,2555,0,-5.0
A7#118,2490,2470,0.5,-0.3
A7#119,2550,2530,0,-5.3
A7#120,2445,2550,0,-3.5
A7#121,2555,2545,1,4.9
A8#1,2585,2545,0.5,-0.6
A8#2,2585,2620,1,5.5
A8#3,2495,2550,1,5.8
A8#4,2605,2500,1,3.5
A8#5,2450,2610,0.5,2.2
A8#6,2550,2565,0.5,0.2
A8#7,2515,2530,0.5,0.2
A8#8,2610,2550,0,-5.9
A8#9,2585,2495,1,3.7
A8#10,2500,2450,0.5,-0.7
A8#11,2530,2585,0,-4.2
A8#12,2620,2565,1,4.2
A8#13,2550,2515,0,-5.5
A8#14,2545,2605,0.5,0.9
A8#15,2550,2500,0.5,-0.7
A8#16,2585,2550,1,4.5
A8#17,2495,2620,0,-3.3
A8#18,2565,2610,0.5,0.6
A8#19,2605,2530,0.5,-1.1
A8#20,2450,2545,0.5,1.3
A8#21,2515,2585,0.5,1.0
A8#22,2500,2565,0.5,0.9
A8#23,2585,2585,0,-5.0
A8#24,2495,2515,0,-4.7
A8#25,2620,2610,0,-5.1
A8#26,2545,2550,0.5,0.1
A8#27,2530,2450,1,3.9
A8#28,2550,2605,0.5,0.8
A8#29,2585,2495,1,3.7
A8#30,2610,2500,0.5,-1.5
A8#31,2565,2545,0.5,-0.3
A8#32,2605,2585,0,-5.3
A8#33,2450,2550,1,6.4
A8#34,2550,2530,0.5,-0.3
A8#35,2515,2620,0.5,1.5
A8#36,2515,2585,0,-4.0
A8#37,2585,2450,1,3.1
A8#38,2620,2500,1,3.3
A8#39,2550,2550,0.5,0.0
A8#40,2545,2610,0.5,0.9
A8#41,2495,2605,1,6.5
A8#42,2530,2565,0.5,0.5
A8#43,2585,2620,0.5,0.5
A8#44,2500,2545,0.5,0.6
A8#45,2610,2530,0,-6.1
A8#46,2565,2550,0.5,-0.2
A8#47,2605,2515,1,3.7
A8#48,2450,2495,1,5.6
A8#49,2550,2585,0,-4.5
A8#50,2585,2565,0,-5.3
A8#51,2530,2500,0.5,-0.4
A8#52,2495,2550,0,-4.2
A8#53,2620,2545,0.5,-1.1
A8#54,2585,2605,0,-4.7
A8#55,2550,2610,0,-4.1
A8#56,2515,2450,0,-5.9
A8#57,2565,2495,0,-6.0
A8#58,2605,2620,0.5,0.2
A8#59,2450,2585,0,-3.1
A8#60,2550,2515,0.5,-0.5
A8#61,2545,2530,0.5,-0.2
A8#62,2610,2585,0,-5.4
A8#63,2500,2550,0,-4.3
A8#64,2605,2450,1,2.9
A8#65,2515,2565,1,5.7
A8#66,2550,2545,0,-5.1
A8#67,2620,2530,0.5,-1.3
A8#68,2495,2610,0,-3.4
A8#69,2585,2500,0.5,-1.2
A8#70,2585,2550,0.5,-0.5
A8#71,2530,2550,0.5,0.3
A8#72,2545,2585,0.5,0.6
A8#73,2500,2495,0.5,-0.1
A8#74,2550,2605,1,5.8
A8#75,2450,2620,0.5,2.3
A8#76,2565,2585,0.5,0.3
A8#77,2610,2515,1,3.7
A8#78,2585,2610,1,5.4
A8#79,2585,2530,0.5,-0.8
A8#80,2605,2565,0.5,-0.6
A8#81,2515,2500,0.5,-0.2
A8#82,2620,2550,1,4.0
A8#83,2450,2550,0.5,1.4
A8#84,2495,2545,1,5.7
A8#85,2530,2495,1,4.5
A8#86,2550,2620,0.5,1.0
A8#87,2610,2605,1,4.9
A8#88,2500,2585,0.5,1.2
A8#89,2565,2450,0.5,-1.6
A8#90,2545,2515,1,4.6
A8#91,2550,2585,0.5,0.5
A9#1,2535,2520,0.5,-0.2
A9#2,2465,2520,0.5,0.8
A9#3,2510,2440,0.5,-1.0
A9#4,2600,2540,0.5,-0.9
A9#5,2590,2535,1,4.2
A9#6,2560,2560,0.5,0.0
A9#7,2535,2480,0,-5.8
A9#8,2520,2465,0.5,-0.8
A9#9,2560,2600,0,-4.4
A9#10,2520,2560,0,-4.4
A9#11,2535,2535,0.5,0.0
A9#12,2535,2510,0.5,-0.4
A9#13,2480,2440,0.5,-0.6
A9#14,2540,2590,0,-4.3
A9#15,2465,2535,0.5,1.0
A9#16,2600,2520,1,3.9
A9#17,2440,2535,0.5,1.3
A9#18,2535,2480,0.5,-0.8
A9#19,2510,2540,0.5,0.4
A9#20,2590,2560,0.5,-0.4
A9#21,2560,2520,1,4.4
A9#22,2480,2535,0.5,0.8
A9#23,2560,2510,1,4.3
A9#24,2535,2465,0.5,-1.0
A9#25,2535,2560,0.5,0.4
A9#26,2540,2440,0.5,-1.4
A9#27,2520,2600,0,-3.9
A9#28,2520,2590,0,-4.0
A9#29,2600,2535,0.5,-0.9
A9#30,2465,2480,0,-4.8
A9#31,2440,2560,0.5,1.7
A9#32,2590,2520,0,-6.0
A9#33,2510,2520,0.5,0.1
A9#34,2560,2535,0.5,-0.4
A9#35,2535,2540,1,5.1
A9#36,2520,2510,1,4.9
A9#37,2465,2560,0,-3.7
A9#38,2480,2540,1,5.9
A9#39,2520,2440,1,3.9
A9#40,2535,2600,0.5,0.9
A9#41,2560,2535,1,4.6
A9#42,2535,2590,0.5,0.8
A9#43,2560,2480,0.5,-1.1
A9#44,2600,2465,0.5,-1.9
A9#45,2535,2520,1,4.8
A9#46,2440,2520,0,-3.9
A9#47,2540,2560,0.5,0.3
A9#48,2510,2535,0,-4.6
A9#49,2590,2535,0.5,-0.8
A9#50,2560,2600,0.5,0.6
A9#51,2520,2535,0.5,0.2
A9#52,2520,2540,0.5,0.3
A9#53,2480,2560,0,-3.9
A9#54,2465,2590,0,-3.3
A9#55,2535,2510,1,4.6
A9#56,2535,2440,0.5,-1.3
A9#57,2440,2535,0.5,1.3
A9#58,2535,2535,0.5,0.0
A9#59,2600,2480,1,3.3
A9#60,2510,2465,0,-5.6
A9#61,2590,2560,1,4.6
A9#62,2560,2520,0.5,-0.6
A9#63,2540,2520,0.5,-0.3
A9#64,2520,2560,0.5,0.6
A9#65,2560,2510,0,-5.7
A9#66,2535,2540,0.5,0.1
A9#67,2535,2535,0.5,0.0
A9#68,2465,2440,1,4.6
A9#69,2600,2590,0.5,-0.1
A9#70,2480,2520,0,-4.4
A9#71,2520,2520,0.5,0.0
A9#72,2440,2560,0,-3.3
A9#73,2590,2480,1,3.5
A9#74,2510,2600,0.5,1.3
A9#75,2540,2535,0.5,-0.1
A9#76,2535,2465,1,4.0
A9#77,2560,2535,0.5,-0.4
A9#78,2480,2520,0.5,0.6
A9#79,2465,2540,0.5,1.1
A9#80,2535,2560,0,-4.6
A9#81,2600,2440,0.5,-2.2
A9#82,2560,2535,1,4.6
A9#83,2590,2510,0.5,-1.1
A9#84,2535,2520,1,4.8
A9#85,2440,2590,0.5,2.0
A9#86,2535,2600,0,-4.1
A9#87,2520,2535,0.5,0.2
A9#88,2560,2465,1,3.7
A9#89,2510,2480,0.5,-0.4
A9#90,2520,2535,0,-4.8
A9#91,2540,2560,0,-4.7
A0#1,2595,2585,1,4.9
A0#2,2595,2725,0.5,1.8
A0#3,2595,2610,0.5,0.2
A0#4,2595,2545,0.5,-0.7
A0#5,2725,2585,1,3.1
A0#6,2535,2545,0.5,0.1
A0#7,2535,2610,0,-3.9
A0#8,2535,2585,1,5.7
A0#9,2535,2725,0.5,2.5
A0#10,2535,2595,0.5,0.9
A0#11,2725,2595,1,3.2
A0#12,2725,2535,1,2.5
A0#13,2725,2610,1,3.4
A0#14,2595,2535,0.5,-0.9
A0#15,2535,2465,1,4.0
A0#16,2595,2600,0.5,0.1
A0#17,2595,2465,1,3.2
A0#18,2535,2600,0.5,0.9
A0#19,2610,2585,1,4.6
A0#20,2725,2545,0.5,-2.4
A0#21,2725,2600,0.5,-1.7
A0#22,2585,2535,0,-5.7
A0#23,2465,2600,0.5,1.9
A0#24,2465,2545,0,-3.9
A0#25,2465,2610,1,7.0
A0#26,2725,2465,1,1.8
A0#27,2465,2585,1,6.7
A0#28,2465,2725,0,-1.8
A0#29,2465,2595,0.5,1.8
A0#30,2465,2535,0.5,1.0
A0#31,2600,2465,1,3.1
A0#32,2600,2545,0.5,-0.8
A0#33,2600,2610,0.5,0.1
A0#34,2610,2725,1,6.6
A0#35,2585,2595,0.5,0.1
A0#36,2585,2725,0,-3.1
A0#37,2585,2610,1,5.4
A0#38,2585,2545,0.5,-0.6
A0#39,2585,2600,0,-4.8
A0#40,2585,2465,1,3.3
A0#41,2610,2535,0.5,-1.1
A0#42,2610,2595,0,-5.2
A0#43,2545,2585,1,5.6
A0#44,2610,2545,0.5,-0.9
A0#45,2610,2600,0.5,-0.1
A0#46,2610,2465,1,3.0
A0#47,2545,2535,0.5,-0.1
A0#48,2545,2595,0.5,0.7
A0#49,2545,2725,0.5,2.4
A0#50,2545,2610,0.5,0.9
A0#51,2545,2600,0.5,0.8
A0#52,2545,2465,0.5,-1.1
A0#53,2600,2535,1,4.1
A0#54,2600,2595,1,4.9
A0#55,2600,2725,0.5,1.7
A0#56,2600,2585,0.5,-0.2
A1#1,2485,2590,1,6.5
A1#2,2650,2590,1,4.1
A1#3,2485,2550,0.5,0.9
A1#4,2485,2690,0.5,2.6
A1#5,2575,2550,0.5,-0.4
A1#6,2575,2590,0.5,0.2
A1#7,2575,2650,0.5,1.1
A1#8,2575,2545,0.5,-0.4
A1#9,2690,2605,1,3.8
A1#10,2475,2690,0,-2.2
A1#11,2475,2455,1,4.7
A1#12,2475,2605,0,-3.2
A1#13,2475,2620,0.5,2.0
A1#14,2475,2485,0.5,0.1
A1#15,2475,2620,0,-3.0
A1#16,2650,2545,0,-6.5
A1#17,2650,2620,0.5,-0.4
A1#18,2690,2620,0.5,-1.0
A1#19,2550,2475,1,3.9
A1#20,2550,2690,0.5,1.9
A1#21,2550,2605,1,5.8
A1#22,2550,2620,0.5,1.0
A1#23,2550,2545,0.5,-0.1
A1#24,2550,2620,0.5,1.0
A1#25,2455,2575,0.5,1.7
A1#26,2455,2690,0,-2.1
A1#27,2455,2550,0,-3.7
A1#28,2455,2590,0,-3.1
A1#29,2455,2650,0,-2.5
A1#30,2575,2475,1,3.6
A1#31,2620,2485,1,3.1
A1#32,2620,2620,1,5.0
A1#33,2620,2605,0.5,-0.2
A1#34,2620,2455,1,2.8
A1#35,2620,2575,0.5,-0.6
A1#36,2545,2620,0.5,1.1
A1#37,2545,2620,0.5,1.1
A1#38,2545,2605,0.5,0.9
A1#39,2545,2455,1,3.7
A1#40,2545,2690,0.5,2.0
A1#41,2545,2475,0.5,-1.0
A1#42,2485,2545,0.5,0.9
A1#43,2485,2650,0.5,2.2
A1#44,2575,2690,1,6.6
A1#45,2690,2620,0.5,-1.0
A1#46,2690,2590,1,3.6
A1#47,2485,2575,0.5,1.3
A1#48,2455,2485,0.5,0.4
A1#49,2590,2620,0.5,0.4
A1#50,2690,2650,0.5,-0.6
A1#51,2650,2550,1,3.6
A1#52,2650,2475,1,2.7
A1#53,2620,2485,0,-6.9
A1#54,2620,2650,0.5,0.4
A1#55,2620,2605,0.5,-0.2
A1#56,2620,2455,0.5,-2.2
A1#57,2620,2575,0.5,-0.6
A1#58,2605,2485,0.5,-1.7
A1#59,2590,2545,0.5,-0.6
A1#60,2590,2620,0.5,0.4
A1#61,2590,2550,0.5,-0.6
A1#62,2590,2475,1,3.4
A1#63,2605,2650,0.5,0.6
A1#64,2605,2590,0.5,-0.2
A1#65,2605,2455,0.5,-2.0
A1#66,2605,2575,0.5,-0.4
A5#1,2480,2460,0.5,-0.3
A5#2,2560,2640,1,6.1
A5#3,2720,2600,1,3.3
A5#4,2460,2640,0,-2.6
A5#5,2600,2560,0.5,-0.6
A5#6,2480,2720,0,-2.0
A5#7,2720,2460,0.5,-3.2
A5#8,2560,2480,0.5,-1.1
A5#9,2640,2600,0.5,-0.6
A5#10,2460,2600,0.5,1.9
A5#11,2480,2640,0.5,2.2
A5#12,2720,2560,1,2.8
A5#13,2640,2720,0.5,1.1
A5#14,2600,2480,1,3.3
A5#15,2560,2460,1,3.6
A5#16,2640,2560,1,3.9
A5#17,2600,2720,0,-3.3
A5#18,2460,2480,0.5,0.3
A5#19,2560,2600,0.5,0.6
A5#20,2640,2460,1,2.6
A5#21,2720,2480,0.5,-3.0
A5#22,2600,2640,0.5,0.6
A5#23,2460,2720,0.5,3.2
A5#24,2480,2560,0.5,1.1
A5#25,2560,2720,0.5,2.2
A5#26,2600,2460,1,3.1
A5#27,2640,2480,1,2.8
A5#28,2720,2640,0.5,-1.1
A5#29,2460,2560,1,6.4
A5#30,2480,2600,0,-3.3
A7#1,2590,2590,0,-5.0
A7#2,2590,2625,0.5,0.5
A7#3,2590,2710,0.5,1.7
A7#4,2590,2590,1,5.0
A7#5,2590,2625,0.5,0.5
A7#6,2590,2710,0.5,1.7
A7#7,2625,2590,0.5,-0.5
A7#8,2625,2590,0.5,-0.5
A7#9,2710,2590,1,3.3
A7#10,2710,2625,1,3.8
A7#11,2710,2590,0.5,-1.7
A7#12,2625,2710,0.5,1.2
A8#1,2675,2715,0.5,0.6
A8#2,2630,2610,1,4.7
A8#3,2630,2715,0.5,1.2
A8#4,2630,2675,1,5.6
A8#5,2610,2675,1,5.9
A8#6,2715,2630,1,3.8
A8#7,2610,2715,1,6.5
A8#8,2715,2675,1,4.4
A8#9,2675,2630,0,-5.6
A8#10,2675,2610,0.5,-0.9
A8#11,2715,2610,0.5,-1.5
A8#12,2610,2630,0.5,0.3
A1#1,2635,2630,1,4.9
A1#2,2590,2650,1,5.9
A1#3,2615,2645,0,-4.6
A1#4,2530,2800,0.5,3.3
A1#5,2535,2725,0.5,2.5
A1#6,2630,2535,1,3.7
A1#7,2645,2590,0.5,-0.8
A1#8,2800,2650,0.5,-2.0
A1#9,2725,2615,0.5,-1.5
A1#10,2530,2635,0.5,1.5
A1#11,2535,2530,0.5,-0.1
A1#12,2635,2800,0.5,2.2
A1#13,2615,2630,1,5.2
A1#14,2650,2645,0.5,-0.1
A1#15,2590,2725,0.5,1.9
A1#16,2530,2615,0,-3.8
A1#17,2800,2645,0.5,-2.1
A1#18,2725,2650,1,3.9
A1#19,2635,2535,1,3.6
A1#20,2630,2590,1,4.4
A1#21,2650,2630,0.5,-0.3
A1#22,2645,2725,0.5,1.1
A1#23,2590,2530,0.5,-0.9
A1#24,2535,2800,0.5,3.2
A1#25,2615,2635,0.5,0.3
A1#26,2800,2725,0.5,-1.1
A1#27,2630,2645,0,-4.8
A1#28,2635,2590,1,4.4
A1#29,2530,2650,0.5,1.7
A1#30,2535,2615,0.5,1.1
A1#31,2650,2635,0.5,-0.2
A1#32,2615,2800,0,-2.6
A1#33,2590,2535,0,-5.8
A1#34,2645,2530,1,3.4
A1#35,2725,2630,1,3.7
A1#36,2800,2630,0.5,-2.3
A1#37,2615,2590,0.5,-0.4
A1#38,2635,2645,0.5,0.1
A1#39,2530,2725,0.5,2.5
A1#40,2535,2650,0.5,1.6
A1#41,2725,2635,0.5,-1.3
A1#42,2650,2615,0.5,-0.5
A1#43,2630,2530,1,3.6
A1#44,2590,2800,0,-2.3
A1#45,2645,2535,0.5,-1.5
A3#1,2685,2655,1,4.6
A3#2,2590,2710,0,-3.3
A3#3,2710,2655,0.5,-0.8
A3#4,2590,2685,0.5,1.3
A3#5,2685,2710,0.5,0.4
A3#6,2655,2590,0.5,-0.9
A3#7,2655,2685,1,5.4
A3#8,2710,2590,1,3.3
A3#9,2590,2655,0.5,0.9
A3#10,2710,2685,0.5,-0.4
A3#11,2685,2590,1,3.7
A3#12,2655,2710,1,5.8
A4#1,2805,2710,0.5,-1.3
A4#2,2655,2620,1,4.5
A4#3,2710,2620,0.5,-1.3
A4#4,2805,2655,1,3.0
A4#5,2655,2710,0.5,0.8
A4#6,2620,2805,0,-2.6
A4#7,2620,2655,1,5.5
A4#8,2710,2805,1,6.3
A4#9,2710,2655,1,4.2
A4#10,2805,2620,1,2.6
A4#11,2620,2710,1,6.3
A4#12,2655,2805,0.5,2.0
A5#1,2655,2805,0.5,2.0
A5#2,2630,2670,1,5.6
A5#3,2655,2630,0.5,-0.4
A5#4,2805,2670,1,3.1
A5#5,2630,2805,0,-2.7
A5#6,2670,2655,0,-5.2
A5#7,2805,2655,0,-7.0
A5#8,2670,2630,0.5,-0.6
A5#9,2805,2630,1,2.7
A5#10,2655,2670,0.5,0.2
A5#11,2670,2805,1,6.9
A5#12,2630,2655,0.5,0.4
A6#1,2775,2630,1,3.0
A6#2,2630,2665,1,5.5
A6#3,2620,2570,0.5,-0.7
A6#4,2700,2775,1,6.1
A6#5,2700,2725,0.5,0.4
A6#6,2630,2630,1,5.0
A6#7,2570,2775,0,-2.4
A6#8,2725,2700,0,-5.4
A6#9,2665,2700,1,5.5
A6#10,2620,2775,0.5,2.1
A6#11,2700,2665,0,-5.5
A6#12,2630,2620,1,4.9
A6#13,2775,2570,0.5,-2.6
A6#14,2775,2725,1,4.3
A6#15,2700,2630,1,4.0
A6#16,2620,2700,0.5,1.1
A6#17,2630,2700,0.5,1.0
A6#18,2570,2725,0.5,2.1
A6#19,2775,2630,0.5,-2.0
A6#20,2665,2775,0.5,1.5
A6#21,2700,2620,1,3.9
A6#22,2775,2630,1,3.0
A6#23,2630,2570,0,-5.9
A6#24,2700,2775,0.5,1.1
A6#25,2725,2665,1,4.1
A6#26,2620,2775,0.5,2.1
A6#27,2630,2700,1,6.0
A6#28,2570,2665,0.5,1.3
A6#29,2630,2725,0.5,1.3
A6#30,2775,2700,1,3.9
A6#31,2725,2620,1,3.5
A6#32,2700,2630,1,4.0
A6#33,2665,2630,0.5,-0.5
A6#34,2775,2775,1,5.0
A6#35,2700,2570,1,3.2
A6#36,2630,2775,0.5,2.0
A6#37,2775,2725,0,-5.7
A6#38,2570,2630,0,-4.1
A6#39,2620,2665,0,-4.4
A6#40,2700,2700,0,-5.0
A6#41,2700,2570,1,3.2
A6#42,2725,2630,0.5,-1.3
A6#43,2775,2700,1,3.9
A6#44,2630,2620,0.5,-0.1
A6#45,2665,2775,0.5,1.5
A1#1,2749,2585,1,2.8
A1#2,2722,2827,0,-3.5
A1#3,2797,2712,1,3.8
A1#4,2827,2712,0.5,-1.6
A1#5,2722,2749,1,5.4
A1#6,2585,2797,0,-2.3
A1#7,2749,2827,0,-3.9
A1#8,2797,2722,0.5,-1.1
A1#9,2712,2585,1,3.2
A1#10,2797,2827,0.5,0.4
A1#11,2712,2749,1,5.5
A1#12,2585,2722,0.5,1.9
A1#13,2827,2585,0.5,-3.0
A1#14,2722,2712,0.5,-0.1
A1#15,2749,2797,0,-4.3
A1#16,2827,2722,1,3.5
A1#17,2712,2797,0.5,1.2
A1#18,2585,2749,0,-2.8
A1#19,2749,2722,1,4.6
A1#20,2712,2827,0.5,1.6
A1#21,2797,2585,1,2.3
A1#22,2827,2749,0.5,-1.1
A1#23,2585,2712,0.5,1.8
A1#24,2722,2797,0.5,1.1
A1#25,2585,2827,0.5,3.0
A1#26,2797,2749,0.5,-0.7
A1#27,2712,2722,0.5,0.1
A1#28,2722,2585,1,3.1
A1#29,2749,2712,0.5,-0.5
A1#30,2827,2797,1,4.6
B7#1,2420,2690,0,-1.7
B7#2,2420,2555,0,-3.1
B7#3,2530,2350,1,2.6
B7#4,2350,2550,0.5,2.6
B7#5,2535,2590,0.5,0.8
B7#6,2565,2555,0.5,-0.1
B7#7,2550,2565,0.5,0.2
B7#8,2420,2400,0,-5.3
B7#9,2600,2535,0.5,-0.9
B7#10,2690,2530,1,2.8
B7#11,2510,2560,0.5,0.7
B7#12,2535,2510,0.5,-0.4
B7#13,2550,2420,1,3.2
B7#14,2590,2555,1,4.5
B7#15,2535,2690,0.5,2.1
B7#16,2560,2565,1,5.1
B7#17,2565,2600,0.5,0.5
B7#18,2690,2590,1,3.6
B7#19,2510,2565,0.5,0.8
B7#20,2550,2550,1,5.0
B7#21,2565,2535,0.5,-0.4
B7#22,2555,2560,0.5,0.1
B7#23,2420,2530,0,-3.5
B7#24,2550,2600,0.5,0.7
B7#25,2535,2555,1,5.3
B7#26,2535,2420,1,3.4
B7#27,2565,2565,0.5,0.0
B7#28,2400,2510,0.5,1.5
B7#29,2690,2350,1,1.2
B7#30,2530,2550,0.5,0.3
B7#31,2590,2560,0.5,-0.4
B7#32,2510,2550,0,-4.4
B7#33,2565,2400,0.5,-2.2
B7#34,2600,2530,0.5,-1.0
B7#35,2555,2565,1,5.1
B7#36,2560,2535,0.5,-0.4
B7#37,2350,2590,0,-2.0
B7#38,2690,2550,1,3.1
B7#39,2565,2560,0.5,-0.1
B7#40,2550,2565,0.5,0.2
B7#41,2350,2420,1,6.0
B7#42,2530,2510,0.5,-0.3
B7#43,2590,2535,0.5,-0.8
B7#44,2600,2690,0.5,1.3
B7#45,2550,2350,1,2.4
B7#46,2555,2550,1,4.9
B7#47,2560,2400,1,2.8
B7#48,2420,2590,1,7.3
B7#49,2565,2530,0.5,-0.5
B7#50,2535,2565,0.5,0.4
B7#51,2510,2535,1,5.4
B7#52,2350,2600,0,-1.9
B7#53,2400,2535,0.5,1.9
B7#54,2420,2550,0,-3.2
B7#55,2530,2555,0.5,0.4
B7#56,2550,2560,0.5,0.1
B7#57,2590,2565,0.5,-0.4
B7#58,2690,2510,0.5,-2.4
B7#59,2560,2530,0.5,-0.4
B7#60,2565,2690,0.5,1.7
B7#61,2535,2550,0.5,0.2
B7#62,2600,2420,0,-7.4
B7#63,2510,2350,1,2.8
B7#64,2550,2590,0,-4.4
B7#65,2555,2535,0,-5.3
B7#66,2420,2510,1,6.3
B7#67,2690,2555,1,3.1
B7#68,2550,2600,1,5.7
B7#69,2530,2535,0.5,0.1
B7#70,2590,2400,1,2.5
B7#71,2550,2565,0,-4.8
B7#72,2350,2565,0.5,2.8
B7#73,2565,2530,0.5,-0.5
B7#74,2600,2590,0,-5.1
B7#75,2510,2550,0.5,0.6
B7#76,2565,2420,0.5,-2.0
B7#77,2560,2690,0.5,1.8
B7#78,2555,2350,1,2.4
B7#79,2400,2550,0.5,2.0
B7#80,2535,2535,0.5,0.0
B7#81,2690,2535,1,2.9
B7#82,2550,2565,0.5,0.2
B7#83,2600,2510,0.5,-1.3
B7#84,2535,2565,1,5.4
B7#85,2350,2560,0.5,2.7
B7#86,2530,2400,1,3.2
B7#87,2590,2550,1,4.4
B7#88,2565,2600,0.5,0.5
B7#89,2535,2350,0.5,-2.4
B7#90,2565,2690,0.5,1.7
B7#91,2510,2590,0,-3.9
B7#92,2555,2550,0,-5.1
B7#93,2560,2420,0,-6.9
B7#94,2550,2530,0.5,-0.3
B7#95,2535,2550,0,-4.8
B7#96,2600,2555,0,-5.6
B7#97,2590,2530,0.5,-0.9
B7#98,2550,2690,0,-3.1
B7#99,2535,2550,1,5.2
B0#1,2465,2415,0,-5.7
B0#2,2530,2530,0,-5.0
B0#3,2565,2615,0.5,0.7
B0#4,2325,2565,0.5,3.0
B0#5,2590,2510,1,3.9
B0#6,2545,2515,0.5,-0.4
B0#7,2590,2545,0.5,-0.6
B0#8,2550,2605,0.5,0.8
B0#9,2605,2565,0.5,-0.6
